,PAPAL NAME,BEGINNING PONTIFICATE,END PONTIFICATE,SECULAR NAME,BIRTH,CENTURY
223,Paul IV,"23,26.V.1555",18.VIII.1559,Gian Pietro Carafa,Capriglia (Avellino),16
224,Pius IV,"26.XII.1559, 6.I.1560",9.XII.1565,Giovan Angelo Medici,Milan,16
225,Pius V,"7,17.I.1566",1.V.1572,Antonio (Michele) Ghisleri,Bosco (Alessandria),16
226,Gregory XIII,"13,25.V.1572",10.IV.1585,Ugo Boncompagni,Bologna,16
227,Sixtus V,"24.IV, 1.V.1585",27.VIII.1590,Felice Peretti,Grottammare (Ascoli Piceno),16
228,Urban VII,15.IX.1590,27.IX.1590,Giambattista Castagna,Rome,16
229,Gregory XIV,"5,8.XII.1590",16.X.1591,Niccolò Sfondrati,Somma Lombarda,16
230,Innocent IX,"29.X,3.XI.1591",30.XII.1591,Giovan Antonio Facchinetti,Bologna,16
231,Clement VIII,"30.I,9.II.1592",3.III.1605,Ippolito Aldobrandini,Fano,16
232,Leo XI,"1,10.IV.1605",27.IV.1605,Alessandro de' Medici,Florence,17
233,Paul V,"16,29.V.1605",28.I.1621,Camillo Borghese,Rome,17
234,Gregory XV,"9,14.II.1621",8.VII.1623,Alessandro Ludovisi,Bologna,17
235,Urban VIII,"6.VIII, 29.IX.1623",29.VII.1644,Maffeo Barberini,Florence,17
236,Innocent X,"15.IX,4.X.1644",7.I.1655,Giovanni Battista Pamphilj,Rome,17
237,Alexander VII,"7,18.IV.1655",22.V.1667,Fabio Chigi,Siena,17
238,Clement IX,"20,26.VI.1667",9.XII.1669,Giulio Rospigliosi,Pistoia,17
239,Clement X,"29.IV,11.V.1670",22.VII.1676,Emilio Altieri,Rome,17
240,Innocent XI,"21.IX, 4.X.1676",12.VIII.1689,Benedetto Odescalchi,Como,17
241,Alexander VIII,"6,16.X.1689",1.II.1691,Pietro Ottoboni,Venice,17
242,Innocent XII,"12,15.VII.1691",27.IX.1700,Antonio Pignatelli,Spinazzola,17
243,Clement XI,"23,30.XI, 8.XII.1700",19.III.1721,Giovanni Francesco Albani,Urbino,18
244,Innocent XIII,"8,18.V.1721",7.III.1724,Michelangelo Conti,Poli,18
245,Benedict XIII,"29.V, 4.VI.1724",21.II.1730,Pietro Francesco (Vincenzo Maria) Orsini,Gravina,18
246,Clement XII,"12,16.VII.1730",6.II.1740,Lorenzo Corsini,Florence,18
247,Benedict XIV,"17,22.VIII.1740",3.V.1758,Prospero Lambertini,Bologna,18
248,Clement XIII,"6,16.VII.1758",2.II.1769,Carlo Rezzonico,Venice,18
249,Clement XIV,"19,28.V, 4.VI.1769",22.IX.1774,Giovanni Vincenzo Antonio (Lorenzo) Ganganelli,Sant'Arcangelo di Romagna,18
250,Pius VI,"15,22.II.1775",29.VIII.1799,Giannangelo Braschi,Cesena,18
251,Pius VII,"14,21.III.1800",20.VIII.1823,Barnaba (Gregorio) Chiaramonti,Cesena,19
252,Leo XII,"28.IX, 5.X.1823",10.II.1829,Annibale della Genga,Monticelli di Genga (Fabriano),19
253,Pius VIII,"31.III, 5.IV.1829",30.XI.1830,Francesco Saverio Castiglioni,Cingoli,19
254,Gregory XVI,"2,6.II.1831",1.VI.1846,Bartolomeo Alberto (Mauro) Cappellari,Belluno,19
255,Pius IX,"16,21.VI.1846",7.II.1878,Giovanni Maria Mastai Ferretti,Senigallia,19
256,Leo XIII,"20.II, 3.III.1878",20.VII.1903,Vincenzo Gioacchino Pecci,Carpineto Romano,19
257,Pius X,"4,9.VIII.1903",20.VIII.1914,Giuseppe Melchiorre Sarto,Riese (Treviso),20
258,Benedict XV,"3,6.IX.1914",22.I.1922,Giacomo della Chiesa,,20
259,Pius XI,"6,12.II.1922",10.II.1939,Achille Ratti,Desio (Milan),20
260,Pius XII,"2,12.III.1939",9.X.1958,Eugenio Pacelli,Rome,20
261,John XXIII,"28.X, 4.XI.1958",3.VI.1963,Angelo Giuseppe Roncalli,Sotto il Monte (Bergamo),20
262,Paul VI,"21,30.VI.1963",6.VIII.1978,Giovanni Battista Montini,Concesio (Brescia),20
263,John Paul I,"26.VIII, 3.IX.1978",28.IX.1978,Albino Luciani,Forno di Canale (Belluno),20
264,John Paul II,"16,22.X.1978",2.IV.2005,Karol Wojtyła,Wadowice (Kraków),20
265,Benedict XVI,"19,24.IV.2005",28.II.2013,Joseph Ratzinger,Marktl am Inn (Bavaria),21
266,Francis,"13,19.III.2013",,Jorge Mario Bergoglio,Buenos Aires (Argentina),21
